Time (ms),Name,Value
3,"Auton drive time","0.0"
3,"useSDBtuning","false"
3,"getRPMtop","0.0"
3,"Upper error","90.26502990722656"
3,"Lower error","22.521514892578125"
4,"Upper Conveyor Sensor: ","false"
4,"getRPMbottom","0.0"
5,"SDB auton drive tuning","false"
5,"Auton right speed","0.0"
5,"Auton left speed","0.0"
5,"Lower Conveyor Sensor: ","false"
209,"getRPMbottom","4.56829833984375"
241,"getRPMbottom","3.21661376953125"
291,"getRPMbottom","3.8165130615234375"
304,"getRPMbottom","6.027191162109375"
339,"getRPMbottom","5.5923004150390625"
363,"getRPMbottom","4.5223541259765625"
424,"getRPMbottom","4.1277008056640625"
477,"getRPMbottom","3.3117828369140625"
504,"getRPMbottom","-3.3117828369140625"
562,"getRPMbottom","-3.0466766357421875"
563,"getRPMbottom","-5.050079345703125"
640,"getRPMbottom","0.0"
722,"getRPMbottom","-6.0171966552734375"
723,"getRPMbottom","-8.9239501953125"
744,"getRPMbottom","-11.634262084960938"
763,"getRPMbottom","-14.590042114257812"
787,"getRPMbottom","-17.362014770507812"
803,"getRPMbottom","-22.190963745117188"
845,"getRPMbottom","-25.91363525390625"
864,"getRPMbottom","-28.531784057617188"
893,"getRPMbottom","-35.1103515625"
929,"getRPMbottom","-50.81010437011719"
952,"getRPMbottom","-56.692962646484375"
966,"getRPMbottom","-60.8939208984375"
1009,"getRPMbottom","-68.22911071777344"
1010,"getRPMbottom","-75.82435607910156"
1028,"getRPMbottom","-64.83981323242188"
1045,"getRPMbottom","-65.48466491699219"
1064,"getRPMbottom","-64.19050598144531"
1092,"getRPMbottom","-64.5572509765625"
1107,"getRPMbottom","-63.14775085449219"
1128,"getRPMbottom","-61.86585998535156"
1143,"getRPMbottom","-62.91682434082031"
1173,"getRPMbottom","-61.094818115234375"
1202,"getRPMbottom","-58.093505859375"
1228,"getRPMbottom","-51.50987243652344"
1244,"getRPMbottom","-48.31529235839844"
1264,"getRPMbottom","-44.57444763183594"
1301,"getRPMbottom","-38.01539611816406"
1303,"getRPMbottom","-34.69557189941406"
1550,"getRPMbottom","-32.57752990722656"
1550,"getRPMbottom","-29.837158203125"
1551,"getRPMbottom","-25.793304443359375"
1554,"getRPMbottom","-19.462295532226562"
1554,"getRPMbottom","-6.0706634521484375"
1591,"getRPMbottom","6.0706634521484375"
1614,"getRPMbottom","2.40655517578125"
